Asset,N Obs,Mean (%),Std Dev (%),Skewness,Kurtosis,Excess Kurtosis,Jarque-Bera,JB p-value,Ljung-Box(10) p-val,L-Box Sq.(10) p-val,ARCH-LM(10) p-val
Growth,6016,0.027,1.313,-0.190,10.702,7.702,14907.012,0.000,0.000,0.000,0.000
Value,6014,0.027,1.224,-0.404,15.065,12.065,36638.202,0.000,0.000,0.000,0.000
Large Cap,6009,0.028,1.216,-0.395,13.006,10.006,25222.344,0.000,0.000,0.000,0.000
Small Cap,6016,0.028,1.520,-0.463,8.982,5.982,9186.031,0.000,0.000,0.000,0.000
Volatility,1577,-0.219,4.421,1.454,9.388,6.388,3237.445,0.000,0.001,0.000,0.000
