Asset,N Obs,Mean (%),Std Dev (%),Skewness,Kurtosis,Excess Kurtosis,Jarque-Bera,JB p-value,Ljung-Box(10) p-val,L-Box Sq.(10) p-val,ARCH-LM(10) p-val
Financial,6372,0.024,1.849,0.117,19.469,16.469,72027.040,0.000,0.000,0.000,0.000
Energy,6372,0.031,1.838,-0.611,15.069,12.069,39070.407,0.000,0.003,0.000,0.000
Technology,6372,0.032,1.631,0.067,9.759,6.759,12135.022,0.000,0.000,0.000,0.000
Healthcare,6372,0.032,1.136,-0.203,11.858,8.858,20876.049,0.000,0.000,0.000,0.000
Consumer Discretionary,6372,0.034,1.435,-0.396,9.462,6.462,11253.341,0.000,0.001,0.000,0.000
Consumer Staples,6372,0.025,0.970,-0.228,11.067,8.067,17331.221,0.000,0.000,0.000,0.000
Utilities,6372,0.027,1.229,-0.030,14.283,11.283,33800.320,0.000,0.000,0.000,0.000
